"fulladdr","DETLOC","Name","Address","City","County","State","Zip","Circuit","AOR","Docket","Type","Type.Detailed","ICE.Funded","Male.Female","Levels.A.B.C.D","Capacity","Current.FY.Utilization","Population.Count","Date.of.Last.Use","Date.of.First.Use","FY18.Max.Population.Count","FY18.ADP","FY17.ADP","FY16.ADP","FY15.ADP","FY14.ADP","FY13.ADP","FY12.ADP","FY11.ADP","FY10.ADP","FY09.ADP","X2016.11.01","X2016.12.01","X2017.01.01","X2017.02.01","X2017.03.01","X2017.04.01","X2017.05.01","X2017.06.01","X2017.07.01","X2017.08.01","X2017.09.01","X2017.10.01","X2017.11.01","FY18.ALOS","FY17.ALOS","FY16.ALOS","FY15.ALOS","FY18.Facility.Bookins","FY17.Facility.Bookins","FY16.Facility.Bookins","FY15.Facility.Bookins","FY18.Initial.Bookins","FY17.Initial.Bookins","FY16.Initial.Bookins","FY15.Initial.Bookins","FY18.Initial.Bookin.ADP","FY17.Initial.Bookin.ADP","FY16.Initial.Bookin.ADP","FY15.Initial.Bookin.ADP","FY18.Non.Criminal","FY18.Criminal","FY17.Non.Criminal","FY17.Criminal","FY16.Non.Criminal","FY16.Criminal","FY15.Non.Criminal","FY15.Criminal","Level.A","Level.B","Level.C","Level.D","Male.Crim","Male.Non.Crim","Female.Crim","Female.Non.Crim","ICE.Threat.Level.1","ICE.Threat.Level.2","ICE.Threat.Level.3","No.ICE.Threat.Level","Mandatory","Non.Mandatory","Medical.Provider.Onsite.","Provider.Type","Facility.Operator","Facility.Owner","Best.Known.Contract.Initiation.Date","Best.Known.Contract.Expiration.Date","Guaranteed.Minimum","Per.Diem.Rate.Detailed","ICE.Telephone.Services","Authorization.Status","Authorizing.Authority","Over.Under.72","Contractually.Obligated.Inspection.Standard","PREA.Standard.2.11.Status","Current.Inspection.Frequency","Last.Inspection.Type","Last.Inspection.Standard","Last.Inspection.Pre.Occ.","Last.Inspection.Rating...Final","Last.Inspection.Rating...Recommended","Last.Inspection.Date","Second.to.Last.Inspection.Type","Second.to.Last.Inspection.Standard","Second.to.Last.Inspection.Pre.Occ.","Second.to.Last.Rating","Second.to.Last.Inspection.Date","Next.Inspection.Date","Next.Inspection.Standard","Next.Inspection.Type","Next.Insp.Pre.Occ.","CY17.Rating","CY16.Rating","CY15.RATING","CY14.RATING","CY13.RATING","CY12.RATING","CY11.RATING","CY10.RATING","EMDD.Notes","EMDD.USE","ACA","NCCHC","JCHCO","DSM.Assigned.","DSM.Assignment.Type","FY18.Calendar.Days.in.Use","FY18.Possible.Days","FY18...of.Days.in.Use","FY18.Total.Mandays","FY17.Calendar.Days.in.Use","FY17...of.Days.in.Use","FY17.Total.Mandays","FY17.Max.Pop.Count","street","zip","city","state","lat","lon","score","prenum","number","precision","street1","street2"
"857 SOUTH WHITE NEW ORLEANS LA 70119","ORPARL2","ORLEANS PARISH/SOUTH WHITE","857 SOUTH WHITE","NEW ORLEANS","ORLEANS PARISH","LA","70119","5","NOL","","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","CITY","","","","","","","USE PROHIBITED","DMCP","Under 72","","","N/A","Regular","NDS","No","Good","Deficient","09.04.2009","Regular","NDS","No","Good","01.07.2008","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","S White St","70119","New Orleans","LA",29.959765,-90.09482,0.861,"","857","range",NA,NA
"860 CAMP ROAD COCOA FL 32927","BREVDFL","BREVARD COUNTY JAIL COMPLEX","860 CAMP ROAD","COCOA","BREVARD","FL","32927","11","MIA","ORL","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY","","","","","","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","Camp Rd","32927","Cocoa","FL",28.446666,-80.784754,0.935,"","860","range",NA,NA
"8601 E. AMARILLO BLVD AMARILLO TX 79801","AMTHOLD","AMARILLO HOLD ROOM","8601 E. AMARILLO BLVD","AMARILLO","POTTER","TX","79801","5","DAL","AMT","Other","HOLD","Yes","Female/Male","A","AS NEEDED","","0","07.05.2017","21.03.2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","58","662","79","117","24","307","37","98","28","25","3","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY","","","","","","","NOT INSPECTED","DMCP","Under 72","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","1","0.00%","5","5","E Amarillo Blvd","79107","Amarillo","TX",35.224004,-101.741099,0.521,"","9000","street",NA,NA
"8606 HWY 65 WATERPROOF LA 71375","TENSALA","TENSAS PARISH DETENTION CENTER","8606 HWY 65","WATERPROOF","TENSAS","LA","71375","5","NOL","OAK","IGSA","IGSA","Yes","Male","A, B, C, D","AS NEEDED","","0","01.03.2016","11.12.1995","0","0","0","13","49","57","77","104","129","98","268","0","0","0","0","0","0","0","0","0","0","0","0","0","","","22","14","0","0","229","1323","0","0","185","958","0","1","40","188","0","0","0","0","1","12","12","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","YES","COUNTY","LASALLE CORRECTIONS","COUNTY","20.02.2009","","","b)(4)","Pro-bono Platform (Talton)","NOT INSPECTED","DMCP","Over 72","NDS","Standard 2.11","N/A","Regular","NDS","No","Acceptable","Acceptable","19.03.2015","Regular","NDS","No","Acceptable","20.03.2014","","N/A","N/A","No","","","Acceptable","Acceptable","Acceptable","Acceptable","Acceptable","Superior","","No","NO","NO","NO","No","NONE","0","400","0.00%","0","0","0.00%","0","0","US Hwy 65","71375","Waterproof","LA",31.805626,-91.395017,0.902,"","8606","range",NA,NA
"8730 SCROGGS ROAD ELKTON OH 44415","BOPELK","ELKTON FEDERAL CORRECTIONAL INSTITUTE","8730 SCROGGS ROAD","ELKTON","COLUMBIANA","OH","44415","6","DET","CLE","BOP","BOP","No","Female/Male","A, B, C, D","AS NEEDED","","0","29.03.2005","09.08.2001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","BOP","","","","","Not ICE Funded","","NOT INSPECTED","BOP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","Scroggs Rd","44432",NA,NA,40.77399,-80.708493,0.805,"","8730","range",NA,NA
"8820 BROOKFIELD AVEN BROOKFIELD IL 60513","BROPDIL","BROOKFIELD POLICE DEPARTMENT","8820 BROOKFIELD AVEN","BROOKFIELD","COOK","IL","60513","7","CHI","CHI","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","22.02.2004","04.01.1988","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","CITY","","","","","","","NOT INSPECTED","DMCP","Under 72","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","Brookfield Ave","60513","Brookfield","IL",41.822489,-87.842764,0.94,"","8820","range",NA,NA
"885 CHAMBERS AVE. EAGLE CO 81631","EAGLECO","EAGLE COUNTY JAIL","885 CHAMBERS AVE.","EAGLE","EAGLE","CO","81631","10","DEN","DEN","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","06.05.2014","19.11.1990","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NO","","COUNTY (SHERIFF)","COUNTY","13.10.1993","","","$47.00","Pro-bono Platform (Talton)","NOT INSPECTED","DMCP","Under 72","","","N/A","ORSA","NDS","No","Acceptable","Not Rated","07.08.2013","Regular","NDS","No","Superior","21.04.2010","","N/A","N/A","No","","","","","Acceptable","","","Superior","","No","NO","YES","NO","No","","0","400","0.00%","0","0","0.00%","0","0","Chambers Ave","81631","Eagle","CO",39.662675,-106.819619,0.93,"","885","range",NA,NA
"885 NORTH SAN PEDRO ST SAN JOSE CA 95110","SCNORCA","SANTA CLARA COUNTY MAIN JAIL","885 NORTH SAN PEDRO ST","SAN JOSE","SANTA CLARA","CA","95110","9","SFR","SFR","USMS IGA","USMS IGA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","14.06.2012","20.07.1995","0","0","0","0","0","0","0","1","0","41","125","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NO","","COUNTY","","08.05.1998","","","$103 (males), $79 (females)","","NOT INSPECTED","DMCP","Over 72","","","N/A","Regular","NDS","No","Acceptable","Acceptable","02.02.2010","Regular","NDS","No","Acceptable","04.01.2010","","N/A","N/A","No","","","","","","","","Acceptable","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","N San Pedro St","95110","San Jose","CA",37.352023,-121.905645,0.931,"","885","range",NA,NA
"8860 SALROSE LANE FORT MYERS FL 33912","FMYHOLD","FORT MYERS ERO HOLD ROOM","8860 SALROSE LANE","FORT MYERS","LEE","FL","33912","11","MIA","","Other","HOLD","Yes","Female/Male","B, C, D","AS NEEDED","","0","02.12.2016","02.12.2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","30","152","1","0","30","149","1","0","30","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","NOT INSPECTED","DMCP","Under 72","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","","","","No","","0","400","0.00%","0","1","0.00%","1","1","Sailors Way","33981",NA,NA,26.933288,-82.222172,0.45,"","6498","street",NA,NA
"8901 SOUTH WILMOT ROAD TUCSON AZ 85706","BOPTCN","TUCSON FEDERAL CORRECTIONAL INSTITUTE","8901 SOUTH WILMOT ROAD","TUCSON","PIMA","AZ","85706","9","PHO","TUC","BOP","BOP","No","Female/Male","A, B, C, D","AS NEEDED","","0","18.03.2016","11.03.1988","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","","0","1","6","0","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","BOP","","","","","Not ICE Funded","","NOT INSPECTED","BOP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","S Wilmot Rd","85706","Tucson","AZ",32.088885,-110.85789,0.829,"","8899","street",NA,NA
"8915 MONTANA AVE EL PASO TX 79925","ELPHOLD","EL PASO HOLD ROOM","8915 MONTANA AVE","EL PASO","EL PASO","TX","79925","5","ELP","EPC","Other","HOLD","Yes","Female/Male","A","AS NEEDED","","13","04.11.2017","25.11.2014","56","15","10","6","1","0","0","0","0","0","0","54","22","2","2","1","1","2","2","5","4","3","14","26","0","0","0","0","336","16662","12915","2843","335","16648","12900","2842","306","166","167","11","15","0","10","0","6","0","1","0","15","1","0","0","0","8","0","8","0","0","0","15","8","7","","","","","","","","","","NOT INSPECTED","DMCP","Under 72","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","","","","No","","35","400","9.00%","6194","371","102.00%","3794","155","Montana Ave","79925","El Paso","TX",31.793411,-106.369373,0.938,"","8915","range",NA,NA
"8915 MONTANA AVE. EL PASO TX 79925","EPC","EL PASO SERVICE PROCESSING CENTER","8915 MONTANA AVE.","EL PASO","EL PASO","TX","79925","5","ELP","EPC","SPC","SPC","Yes","Female/Male","A, B, C, D","840","88.00%","770","04.11.2017","04.04.1984","848","742","767","819","706","717","772","623","726","794","777","824","837","827","786","744","660","710","728","776","742","779","736","792","12","17","17","18","1924","16669","16623","14772","1228","10696","9271","8087","1305","1466","1024","725","454","288","461","306","422","397","379","327","385","261","56","39","204","272","84","182","60","44","182","456","640","102","YES","IHSC","GPS-ASSET","ICE","30.09.2015","29.09.2022","600","b)(4)","Talton Full Service","AUTHORIZED","DMCP","Over 72","PBNDS 2011","PREA","Annual","Regular","PBNDS 2011","No","Meets Standard","Meets Standard","15.12.2016","Regular","PBNDS 2011","No","Meets Standard","17.12.2015","12.12.2017","PBNDS 2011","Regular","No","","Meets Standard","Meets Standard","Meets Standard","Meets Standard","Meets Standard","Meets Standard","Meets Standard","","No","YES","YES","NO","Yes","PERMANENT","35","400","9.00%","296834","372","102.00%","279980","917","Montana Ave","79925","El Paso","TX",31.793411,-106.369373,0.938,"","8915","range",NA,NA
"8915 MONTANA ST. EL PASO TX 79925","EPCJUVI","EL PASO JUVENILE","8915 MONTANA ST.","EL PASO","EL PASO","TX","79925","5","ELP","EPC","Other","HOLD","Yes","Female/Male","A","AS NEEDED","","1","04.11.2017","27.10.1998","17","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","1","565","915","11","17","560","908","7","17","590","70","3","7","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","1","0","1","NO","","FEDERAL","","","","","","","NOT INSPECTED","JFRMU","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","11","400","3.00%","503","59","16.00%","61","9","Montana Ave","79925","El Paso","TX",31.793411,-106.369373,0.861,"","8915","range",NA,NA
"8940 FOURWINDS DRIVE SAN ANTONIO TX 78239","SNAHOLD","SAN ANTONIO DRO HOLD ROOM","8940 FOURWINDS DRIVE","SAN ANTONIO","BEXAR","TX","78239","5","SNA","SNA","Other","HOLD","Yes","Male","B, C, D","AS NEEDED","","0","04.10.2017","23.03.2010","1","0","0","2","1","1","0","2","3","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","227","2348","2914","2460","217","2183","2824","2295","214","154","194","167","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","NOT INSPECTED","DMCP","Under 72","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","1","400","0.00%","11","172","47.00%","181","2","Fourwinds Dr","78239","San Antonio","TX",29.522121,-98.391956,0.942,"","8940","range",NA,NA
"897 FRONT STREET BINGHAMPTON NY 13905","BROMMNY","BROOME COUNTY JAIL","897 FRONT STREET","BINGHAMPTON","BROOME","NY","13905","2","BUF","BUF","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","12.03.2014","10.01.1994","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","YES","","COUNTY","","","","","$97.00","","NOT INSPECTED","DMCP","Under 72","","","N/A","Regular","NDS","No","Superior","Acceptable","08.10.2008","Regular","NDS","No","Superior","23.10.2007","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","Front St","13905","Binghamton","NY",42.111331,-75.910529,0.573,"","399","street",NA,NA
"9000 COTTONWOOD AVENUE SANTEE CA 92071","LASWOCA","LAS COLINAS WOMEN'S DETENTION FACILITY","9000 COTTONWOOD AVENUE","SANTEE","SAN DIEGO","CA","92071","9","SND","SND","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","Cottonwood Ave","92071","Santee","CA",32.840254,-116.973569,0.927,"","9000","range",NA,NA
"901 19TH STREET DENVER CO 80294","USMCO","US MARSHALS (COLORADO)","901 19TH STREET","DENVER","DENVER","CO","80294","10","DEN","DEN","USMS IGA","USMS IGA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","25.02.2008","18.08.2006","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","FEDERAL","","","","","","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","19th St","80294","Denver","CO",39.749321,-104.990311,0.864,"","901","range",NA,NA
"901 COUNTY ROAD 201 FALFURRIAS TX 78355","BROKSTX","BROOKS COUNTY DETENTION CENTER","901 COUNTY ROAD 201","FALFURRIAS","BROOKS","TX","78355","5","SNA","PIC","USMS IGA","USMS IGA","Yes","Male","A","200","19.00%","41","04.11.2017","03.07.2005","51","37","32","23","1","43","190","53","0","0","0","60","78","57","4","12","0","0","0","0","35","57","37","42","11","7","6","4","61","1612","1343","116","7","1314","869","72","10","98","67","18","36","2","28","4","20","3","1","0","37","0","0","0","2","36","0","0","0","0","1","36","37","1","YES","PNA MEDICAL SERVICES","GEO","COUNTY","22.03.2011","","","b)(4)","Pro-bono Platform (Talton)","AUTHORIZED","DMCP","Over 72","COR Detention Standards","","Annual","Regular","NDS","No","Acceptable","Acceptable","13.04.2017","ORSA","NDS","No","Acceptable","12.08.2016","","NDS","Regular","No","Acceptable","Acceptable","","Acceptable","Acceptable","Acceptable","","","","No","NO","NO","NO","No","NONE","35","400","9.00%","14994","225","62.00%","11835","99","Co Rd 201","78355","Falfurrias","TX",27.246853,-98.124549,0.805,"","199","street",NA,NA
"901 LEOPARD STREET CORPUS CHRISTI TX 78401","NUECETX","NUECES COUNTY JAIL","901 LEOPARD STREET","CORPUS CHRISTI","NUECES","TX","78401","5","SNA","SNA","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","14.02.2002","29.12.1995","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","NOT INSPECTED","DMCP","Under 72","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","Leopard St","78401","Corpus Christi","TX",27.796327,-97.399658,0.852,"","899","street",NA,NA
"901 N. ORANGE AVENUE GREENCOVE SPRING FL 32043","CLAYCFL","CLAY COUNTY JAIL","901 N. ORANGE AVENUE","GREENCOVE SPRING","CLAY","FL","32043","11","MIA","ORL","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","16.01.2008","09.12.2000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY","","","","","","","NOT INSPECTED","DMCP","Over 72","","","N/A","Regular","NDS","No","Superior","Good","06.01.2006","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","N Orange Ave","32043","Green Cove Springs","FL",30.003609,-81.686229,0.777,"","901","range",NA,NA
"901 PORT AVENUE SAINT HELENS OR 97051","COLUMOR","COLUMBIA COUNTY JAIL","901 PORT AVENUE","SAINT HELENS","COLUMBIA","OR","97051","9","SEA","POO","USMS IGA","USMS IGA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","24.04.2014","19.07.1991","0","0","0","0","0","3","5","1","1","3","14","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","YES","CORRECTIONAL HEALTHCARE MGMT.","COUNTY (SHERIFF)","COUNTY","10.03.2009","","","$78.00","Pro-bono Platform (Talton)","NOT INSPECTED","DMCP","Over 72","FPBDS","","N/A","ORSA","NDS","No","Acceptable","Not Rated","28.09.2013","Regular","NDS","No","Acceptable","15.11.2011","","N/A","N/A","No","","","","","Acceptable","","Acceptable","Acceptable","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","Port Ave","97051","West Saint Helens","OR",45.847792,-122.819709,0.862,"","903","street",NA,NA
"902 VICTORIA STREET LAREDO TX 78040","WEBCOTX","WEBB COUNTY (SHERIFF) JAIL","902 VICTORIA STREET","LAREDO","WEBB","TX","78040","5","SNA","SNA","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","20.05.2007","01.04.1988","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY","","","","","","","NOT INSPECTED","DMCP","Over 72","","","N/A","Regular","NDS","No","Acceptable","Not Rated","29.10.2009","Regular","NDS","No","Superior","14.08.2008","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","Victoria St","78040","Laredo","TX",27.507924,-99.504622,0.929,"","902","range",NA,NA
"909 7TH STREET ONAWA IA 51040","MONONIA","MONONA COUNTY JAIL (IOWA)","909 7TH STREET","ONAWA","MONONA","IA","51040","8","SPM","OMA","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","10.02.2003","14.11.1996","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","7th St","51040","Onawa","IA",42.027964,-96.09301,0.846,"","909","range",NA,NA
"909 COURT STREET PUEBLO CO 81003","PUEBLCO","PUEBLO COUNTY JAIL","909 COURT STREET","PUEBLO","PUEBLO","CO","81003","10","DEN","DEN","USMS IGA","USMS IGA","Yes","Female/Male","A, B, C, D","25","0.00%","0","27.03.2014","22.10.1990","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NO","","COUNTY (SHERIFF)","COUNTY","01.08.1982","","","$48.50","Pro-bono Platform (Talton)","NOT INSPECTED","DMCP","Under 72","NDS","","N/A","ORSA","NDS","No","Acceptable","","14.08.2014","ORSA","NDS","No","Acceptable","07.08.2013","","N/A","N/A","No","","","","Acceptable","Acceptable","","","Superior","2008 and 2009 DEFICIENT","Yes","NO","YES","NO","No","NONE","0","400","0.00%","0","0","0.00%","0","0","Court St","81003","Pueblo","CO",38.275318,-104.610255,0.823,"","909","range",NA,NA
"910 NORTH TYUS STREET GROESBECK TX 76642","LIMESTX","LIMESTONE COUNTY DETENTION CENTER","910 NORTH TYUS STREET","GROESBECK","LIMESTONE","TX","76642","5","SNA","AUS","USMS IGA","USMS IGA","Yes","Female/Male","A, B, C, D","5","0.00%","0","13.07.2013","19.07.1991","0","0","0","0","0","0","66","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY","COUNTY","31.07.2007","","","$65.35","Pro-bono Platform (Talton)","NOT INSPECTED","DMCP","Over 72","","","N/A","Regular","NDS","Yes","Special Review - Pre-Occupancy","","25.04.2013","Regular","NDS","No","Acceptable","23.03.2011","","N/A","N/A","No","","","","","Special Review - Pre-Occupancy","","Acceptable","Superior","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","N Tyus St","76642","Groesbeck","TX",31.529023,-96.511946,0.813,"","910","range",NA,NA
